datatype,glanceid,name,tid,chain_tid,phys_group,events,files,status,timestamp,pr_id,campaign,ddm_erase_timestamp,vuid,grid_exec,se,file_size_mb
montecarlo,554,mc11_7TeV.107661.AlpgenJimmyZmumuNp1_pt20.merge.log.e835_a131_s1353_a145_r2993_tid730123_00,730123,730123,Higgs,0,NULL,frozen,NULL,NULL,NULL,NULL,89aa4d76-606a-11e1-9bfa-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107672.AlpgenJimmyZtautauNp2_pt20.merge.NTUP_SUSY34LEP.e835_s1299_s1300_r3043_r2993_p935_tid767102_00,767102,767102,gr_Susy,0,NULL,group,NULL,NULL,NULL,NULL,00f7ee90-85cf-11e1-b3fc-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107694.AlpgenJimmyWmunuNp4_pt20.merge.NTUP_TOP.e825_s1299_s1300_r2920_r2900_p834_tid609893_00,609893,609893,gr_Top,0,NULL,frozen,NULL,NULL,NULL,NULL,619469ac-2681-11e1-9f93-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107671.AlpgenJimmyZtautauNp1_pt20.merge.log.e835_s1299_s1300_r2730_r2700_p787_tid584464_00,584464,584464,gr_Tau,0,NULL,frozen,NULL,NULL,NULL,NULL,5e498dd6-0def-11e1-8c17-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107674.AlpgenJimmyZtautauNp4_pt20.merge.NTUP_SMWZ.e835_s1299_s1300_r2730_r2700_p756_tid572666_00,572666,572666,gr_SM,0,NULL,deleted,NULL,NULL,NULL,NULL,852eb424-fff5-11e0-a41c-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107662.AlpgenJimmyZmumuNp2_pt20.merge.log.e835_s1299_s1300_r2730_r2700_p795_tid590594_00,590594,590594,gr_Tau,0,NULL,frozen,NULL,NULL,NULL,NULL,fd8aadda-1182-11e1-a313-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107680.AlpgenJimmyWenuNp0_pt20.merge.NTUP_SMLIGHT.e825_s1299_s1300_r3043_r2993_p1248_tid01016051_00,1016051,1016051,GP_SM,0,NULL,frozen,NULL,NULL,NULL,NULL,da1eaa76-1e3e-11e2-94da-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107685.AlpgenJimmyWenuNp5_pt20.merge.NTUP_SMWZ.e825_s1299_s1300_r2730_r2700_p756_tid572679_00,572679,572679,gr_SM,0,NULL,deleted,NULL,NULL,NULL,NULL,8d599880-fff5-11e0-a41c-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107654.AlpgenJimmyZeeNp4_pt20.merge.log.e835_s1299_s1300_tid626565_00,626565,626565,SM,0,NULL,deleted,NULL,NULL,NULL,NULL,aecfc2cc-2d0a-11e1-90ff-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107652.AlpgenJimmyZeeNp2_pt20.merge.NTUP_SMWENU.e835_s1299_s1300_r2730_r2700_p801_tid591400_00,591400,591400,gr_SM,0,NULL,deleted,NULL,NULL,NULL,NULL,f4b1969a-13dc-11e1-b988-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107651.AlpgenJimmyZeeNp1_pt20.merge.log.e835_s1299_s1300_r2730_r2780_p833_tid620198_00,620198,620198,gr_SM,0,NULL,deleted,NULL,NULL,NULL,NULL,853fbabc-2ab1-11e1-8a02-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107690.AlpgenJimmyWmunuNp0_pt20.merge.NTUP_SMWZ.e825_a131_s1353_a145_r2993_p1035_tid01211396_00,1211396,1211396,GP_Higgs,0,NULL,frozen,NULL,NULL,NULL,NULL,0a2b3122-8108-11e2-be81-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.114612.SherpaW5jetstomunu30GeV.simul.HITS.e931_a131_tid625680_03,625680,625680,SM,0,NULL,deleted,NULL,NULL,NULL,NULL,58d07a58-2bff-11e1-9373-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107680.AlpgenJimmyWenuNp0_pt20.merge.log.e825_a131_s1353_a145_r2993_tid01188942_00,1188942,1188942,AP_SM,0,NULL,frozen,NULL,NULL,NULL,NULL,828285fa-68c4-11e2-9dc4-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107690.AlpgenJimmyWmunuNp0_pt20.merge.log.e825_s1299_s1300_r3043_r2993_p841_tid662257_00,662257,662257,gr_Exotics,0,NULL,deleted,NULL,NULL,NULL,NULL,4cfd7fd4-412e-11e1-add9-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107664.AlpgenJimmyZmumuNp4_pt20.recon.ESD.e835_s1299_s1300_r2730_tid515199_00,515199,515199,Top,0,NULL,group,NULL,NULL,NULL,NULL,f24037b0-deec-11e0-bc9d-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.105860.TTbar_PowHeg_Jimmy.merge.log.e873_a131_s1353_a139_r2900_p832_tid610661_00,610661,610661,gr_Susy,0,NULL,frozen,NULL,NULL,NULL,NULL,e521b4e2-2725-11e1-a304-00155dff097a,panda,unknown,0
